label,precision,recall,f1-score,support
negative,0.0,0.0,0.0,1753.0
neutral,0.0,0.0,0.0,545.0
positive,0.43468634686346863,1.0,0.6059670781893004,1767.0
accuracy,0.43468634686346863,0.43468634686346863,0.43468634686346863,0.43468634686346863
macro avg,0.14489544895448955,0.3333333333333333,0.20198902606310012,4065.0
weighted avg,0.18895222014950777,0.43468634686346863,0.26340561553763686,4065.0
