model,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,runtime_seconds,comments
Logistic Regression | seed=11,0.7293,0.6601,0.6636,0.6564,0.7619,0.7293,0.742,11.11,Small repeated-seed stability check on validation split.
Logistic Regression | seed=22,0.7293,0.6601,0.6636,0.6564,0.7619,0.7293,0.742,11.16,Small repeated-seed stability check on validation split.
Logistic Regression | seed=33,0.7293,0.6601,0.6636,0.6564,0.7619,0.7293,0.742,10.91,Small repeated-seed stability check on validation split.
